date,address,value,cumulative_sum,chain,arkhamEntity,arkhamLabel,price
2021-01-27,13muK73goFQqcrgZdgpnFpiZQY4JS8QRyn,5.47E-6,1148.115444,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,14chXu9U3UMaejMN1gdn4kFgD6ATbNbbZx,923.8170569,923.8170569,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,14dJvQAKFeB9UPkQYyxGvjXGEANQ4JwzuK,5.47E-6,1120.605303,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,14n1qDinwFyccyetRRC44ecgVgWtG6FmeV,5.47E-6,1150.000016,bitcoin,Grayscale,Bitcoin Trust,32582.11
2022-07-31,15bJVLh21pfvN7RqWc9Z5eYVSjPjuW1UXx,416.4068053,416.4068053,bitcoin,Grayscale,Bitcoin Trust,23653.459
2021-01-27,15mqMUDPLJtqQHFEkCyZcapua4aFsSKU8g,4.93142,77.62054235,bitcoin,Grayscale,Digital Large Cap Fund,32582.11
2021-01-27,15syqpHC5WD7Pkxy4T4ZXHLyrW7TExmFWK,5.47E-6,1136.44646,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,177M84u32dxh2m4zMMYDE2aqV7978872bo,5.47E-6,1010.759477,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-08-27,18pfTR62xVwLCjtAeTtbQYN8SqnN1DJb6h,2.77451116,7.38880628,bitcoin,Grayscale,Digital Large Cap Fund,47229.07
2021-01-27,19UpKnPfKqTEFu3rk7urnQPZaYM3QMM1en,5.47E-6,1020.000022,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,19hi5tPDR6sQRQmuPPUsoMK1Es9ypWEgH6,5.47E-6,1855.396757,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,1A5LTPi1nNpV3wipDhpGqDBvhsFGDvYikv,5.47E-6,1115.248447,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,1BuZVyefTeBvmGSZmVbZAdEkZNK7qFv2Yv,1426.524928,1426.524928,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,1CFu9j28KkLPwZ5oymj1rCv39wKMCw1Qpa,5.47E-6,1130.862156,bitcoin,Grayscale,Bitcoin Trust,32582.11
2022-07-31,1CX5JdhKFoXevLsyDRjw95zcYpTdtyqjzL,786.440582,786.440582,bitcoin,Grayscale,Digital Large Cap Fund,23653.459
2021-01-27,1CZZJHZ58CqD2VoscqDzso8kpgVk4ut1ZC,5.47E-6,1813.461623,bitcoin,Grayscale,Bitcoin Trust,32582.11
2022-07-31,1D5ENQsspJTDhvAQJvkSZPBre92ZtqC1Lb,-800.0000329,0.0,bitcoin,Grayscale,Digital Large Cap Fund,23653.459
2021-01-27,1DtdMtJL2zggkoFPDbEbM2Ja1EYH8LeH9B,5.47E-6,1119.974716,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,1DvuyuukA7ddDmvuuLHTYYCf93aGV8k32m,1652.21314,1652.21314,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,1EJne3CDJ2w46XePnbXjvLsWr5EGNPMVcx,5.47E-6,1126.552822,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,1FhCo44yyQKisFbT2fNSGmGtQZQBxC91bx,5.47E-6,1119.900222,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,1FkigwrYLz1uWceyLTr8cNN7NM8tC6yC9c,5.47E-6,1119.37785,bitcoin,Grayscale,Bitcoin Trust,32582.11
2022-07-31,1Gas8xEvDUK2CUCryRC12pNfa5FTFeHezq,500.0000438,500.0000438,bitcoin,Grayscale,Bitcoin Trust,23653.459
2021-01-27,1GoBtKL31K4NpfFNs4hEbHmN24oSQwuvJF,5.47E-6,1146.435161,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,1H873ijvDfxfjcGxVVaZaTeCkS7gzgiuqN,5.47E-6,1158.434615,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,1JMgrkSeRfroZtBhBRz1oMscQP1iD1pgRY,5.47E-6,1008.547297,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,1KypEPtEzdndrJD5VLH3Bmw3kJsVTsCeRt,5.47E-6,1863.652331,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,1Ls6CTGrioUbsUvPAjWQ5hvPfgd4MJjppt,5.47E-6,1136.569096,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,1MmhraEfNVSDGQ5ioKHgsriWqhfoQeqVbM,5.47E-6,1155.09911,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,1N4XLnQ2nH1vVzTU8rSuUEqWfJatESBQLJ,5.47E-6,1150.000022,bitcoin,Grayscale,Bitcoin Trust,32582.11
2022-07-31,1NEo8r4zibUj7vn6RDH59Qo4MYdujY2pMg,-1000.000044,0.0,bitcoin,Grayscale,Bitcoin Trust,23653.459
2021-01-27,1NFFBRAZvXcxQ6e5u2qKhMcpG4JiW5eRUH,5.47E-6,1152.871024,bitcoin,Grayscale,Bitcoin Trust,32582.11
2022-07-31,1NRT1newCaSbcgcjGNLFuuHhjrRB7wBeDR,1083.593244,1153.844274,bitcoin,Grayscale,Bitcoin Trust,23653.459
2021-01-27,1P3wSDAveafVLpHSKETJCCpzg7WTVx6UNa,-1659.21314,0.0,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,1PSkPsSmoUcmxfpLS4yw8d4iMarVsHaqy8,5.47E-6,1152.287218,bitcoin,Grayscale,Bitcoin Trust,32582.11
2021-01-27,1PesvirFjFK1joQe7Kd7jg8rFL1x6FV6Q4,5.47E-6,1900.000016,bitcoin,Grayscale,Bitcoin Trust,32582.11
2022-07-31,1PyqRdbwSi2oQQHcA8bHsHWkYkkRDBNRwJ,-1000.000049,0.0,bitcoin,Grayscale,Bitcoin Trust,23653.459
2021-01-27,1jaQEHcH6TkmZze7KwdyeU3fFAGZwk7S8,-1667.165383,0.0,bitcoin,Grayscale,Bitcoin Trust,32582.11
2023-06-22,bc1qa7rc5skutrhrq4vktuswhu6rr4fpjje8rh9axc,-1490.527646,0.0,bitcoin,U.S. Government,James Zhong Seizure,30058.0
2023-07-15,bc1qf2yvj48mzkj7uf8lc2a9sa7w983qe256l5c8fs,5.0E-6,30174.70362,bitcoin,U.S. Government,Silk Road DOJ Confiscated Funds,30313.0
2023-06-22,bc1qsprde7y44yn63gzxx03zkesvv38kh2mugawe5c,0.0,0.0,bitcoin,U.S. Government,James Zhong Seized Funds,30058.0
2023-06-22,bc1qzd8c8h8dcgwuy5zdafdzdce2ap0nayf8v3xrez,-0.39988087,6.09E-14,bitcoin,U.S. Government,James Zhong Seizure,30058.0
2020-11-29,12Zrab5xgXrNu4WuoK2gADqXxWiMdJaYV3,-3378.311366,0.0,bitcoin,Grayscale,Digital Large Cap Fund,17718.973
2020-08-05,13nAhDGENRceQGKDUWLW7XTT8tw3cRTszt,5.47E-6,2252.287168,bitcoin,Grayscale,Bitcoin Trust,11181.918
2020-08-05,15bvyRtnamkjEjXCtJt5q5gbonYMwTLyQu,5.47E-6,5600.000005,bitcoin,Grayscale,Bitcoin Trust,11181.918
2020-08-05,18gtiJc7MuzkmgZUzRuqezZM96m3hur6CE,5.47E-6,2385.312257,bitcoin,Grayscale,Bitcoin Trust,11181.918
2020-11-29,1GDKdfeTANeJ6oK3Xz5pT9aSY3QtZc6pVf,3309.856913,3309.856913,bitcoin,Grayscale,Bitcoin Trust,17718.973
2020-11-29,1GUwb6axVMtaperTpu7rdLpZELLNeEQihb,3370.885838,3370.885838,bitcoin,Grayscale,Digital Large Cap Fund,17718.973
2020-11-29,1GiNfPBEEF8g4Ak1NrxCdkmq79fqU5Rieq,-3514.713321,0.0,bitcoin,Grayscale,Bitcoin Trust,17718.973
2020-01-21,1Hqs4Yo4kTvpyFe29AB2yWQobV8v68b2nW,2.38088844,25.28310734,bitcoin,Grayscale,Digital Large Cap Fund,8631.254
2020-08-05,1JAXANUtTPvM9piFrmbLYJC9DoQtteQ4Cq,5.47E-6,5699.990005,bitcoin,Grayscale,Bitcoin Trust,11181.918
2020-08-05,1K51qwtfi9ms6SBfmEci7Uj19Th4vuNQhB,5.47E-6,1112.004116,bitcoin,Grayscale,Bitcoin Trust,11181.918
2020-07-24,1MPzaW6amBDF7h8D4h2u6niamz9r5EECzG,441.1925327,1072.838665,bitcoin,Grayscale,Bitcoin Trust,9589.817
2022-01-31,124UAXuutiWdYLSFWpxxddJGJ2nsYABWnQ,-564.743318,1.14E-13,bitcoin,Grayscale,Bitcoin Trust,37983.152
2023-09-19,13Pje21evQZ8CJcNMx3wAbVnHPzh8N9WkK,9.15E-4,924.6766453,bitcoin,Grayscale,Bitcoin Trust,27136.0
2020-08-29,1691QWdbt9jLmsXhD4BNUzt4xk3AL3eZkC,5.47E-6,1374.457144,bitcoin,Grayscale,Bitcoin Trust,11519.118
2020-08-28,16kas6RhLe2HbfPaiBwNo7rwYUAmY6Jykp,5.47E-6,2779.568797,bitcoin,Grayscale,Bitcoin Trust,11300.398
2020-08-28,17yRXBxMjmhcgurYJBS4hpUk7Z5Ziqw4ku,5.47E-6,3903.61733,bitcoin,Grayscale,Bitcoin Trust,11300.398
2019-11-21,18yhk1FJmkzaGdB5fasGXBUWAd3f534Syo,1.0,1.0,bitcoin,U.S. Government,UNKNOWN,8095.8657
2020-08-28,1BRnM5HVTTisS5cVLGZAS7uFA3yo7XFype,5.47E-6,3966.503481,bitcoin,Grayscale,Bitcoin Trust,11300.398
2020-08-28,1Fnrnc1piez9vMLu7mj2qivVXfT7BnmEWS,5.47E-6,4000.000011,bitcoin,Grayscale,Bitcoin Trust,11300.398
2023-09-19,1GUNww1V3nXsWeNRj9uJPSPxogtJUqEee3,0.001915,772.1214179,bitcoin,Grayscale,Bitcoin Trust,27136.0
2020-08-28,1H3KWb47bRp9ECjWKzhVh8fKUPb1VDJzkR,5.47E-6,3999.986224,bitcoin,Grayscale,Bitcoin Trust,11300.398
2019-11-21,1HDA1VJCTinigFLmxypfr2Mdjrf1bfvoM3,24.00210709,24.00210709,bitcoin,U.S. Government,Edward Cantor Seized Funds,8095.8657
2020-08-28,1JrfzUkzoQ4VLzG3GYgtP4Kx6eW8NnttiZ,5.47E-6,3951.431252,bitcoin,Grayscale,Bitcoin Trust,11300.398
2020-08-28,1KSeqK9SSiVPzDm5evqprTsvjwuRN7cBEF,5.47E-6,3956.855609,bitcoin,Grayscale,Bitcoin Trust,11300.398
2022-01-31,1Kk1rucihYmawEbkhpBCsngiF9TVE1LiTo,0.00323299,0.00323299,bitcoin,Grayscale,Bitcoin Trust,37983.152
2020-08-29,1Lo6dnQ8QaYuWxDAP2yDHhXuVqzpXLw62Z,5.47E-6,710.6097673,bitcoin,Grayscale,Bitcoin Trust,11519.118
2023-09-19,1MQjgFDoEzyknUryLt2jdnANfJjU2fWigg,0.001915,800.1103688,bitcoin,Grayscale,Bitcoin Trust,27136.0
2023-09-19,1NKMKEi4RuAEFpykHQyPtLDRn8mmZMC8rk,0.001915,770.0039506,bitcoin,Grayscale,Bitcoin Trust,27136.0
2020-08-28,1Ncjz2JQDJpcE62ga8XiL1t1vsatxZAsus,5.47E-6,3163.105894,bitcoin,Grayscale,Bitcoin Trust,11300.398
